Left_arm_angles,Right_arm_angles
5.2706707516409494,10.840305454330576
5.251401821850607,10.681197443156918
5.309634743453557,10.718462299591636
5.561828465643728,10.831814674974652
5.7743259026632785,11.07020257793937
6.175886396796287,11.309932474020215
6.410840020232442,12.108984983228979
6.834311475088995,12.506745415473688
7.707485722964975,13.309178695400476
8.762347510574713,14.180081942770897
9.601982576185122,14.703551823761558
10.020267122615408,14.944107273060297
10.229008287359534,15.324108169431241
10.853567342724176,15.61939213871078
11.682246378420544,15.999627573807487
12.300538878998083,16.244374958883782
13.324531261890783,16.62358131394464
14.391797819212869,17.365887116322284
15.456928170972262,18.56032231978513
16.318746573298554,19.374139768657585
16.437068966445338,20.487014193330708
16.96271783975544,21.434604129418034
18.099889604312892,22.833654177917552
19.782836103120616,24.04422326936782
20.83516328377864,25.394074091224212
22.77037890876221,26.840509533213222
24.0071466268858,28.230694930892092
25.782904823021326,29.483854494576747
27.26131977714993,31.48058588587061
28.55714475004443,33.03289762341503
30.191622960957602,35.61323262226298
32.0053832080835,37.000016527781035
34.30348926422188,38.423885789445514
36.12412946455536,39.69267315066882
37.35395185468155,40.93663400706696
37.93327028359892,42.483124343060474
39.082907858168454,44.84216078629811
40.18308470350736,46.60900890604739
41.80244222614915,48.42387124493068
43.21515667568103,49.4748965062461
45.32740089084439,51.82924430319806
47.7887076798442,53.17812898122562
51.121367426618335,55.42852847743807
